Wall time,Step,Value
1715452928.657254,8192,0.00990123488008976
1715452933.2211359,16384,0.00406000018119812
1715452937.7613618,24576,0.009279999881982803
1715452942.184778,32768,0.02459999918937683
1715452946.609906,40960,0.00937000010162592
1715452950.974085,49152,0.00774999987334013
1715452955.344148,57344,0.036320000886917114
1715452959.74658,65536,0.02198999933898449
1715452964.172835,73728,0.0
1715452969.017333,81920,0.020109999924898148
1715452973.84376,90112,0.020560000091791153
1715452978.38843,98304,0.02191000059247017
1715452982.926373,106496,0.03010999970138073
1715452987.4643252,114688,0.010010000318288803
1715452991.9737458,122880,0.03280999884009361
1715452996.6004,131072,0.016939999535679817
1715453001.203778,139264,0.007120000198483467
1715453005.76294,147456,0.02208000048995018
1715453010.29502,155648,0.041919998824596405
1715453015.0755572,163840,0.028300000354647636
1715453019.7352362,172032,0.02686000056564808
1715453024.249425,180224,0.031449999660253525
1715453028.584394,188416,0.03290000185370445
1715453032.96692,196608,0.08003000169992447
1715453037.552806,204800,0.056609999388456345
1715453042.253088,212992,0.02597000077366829
1715453046.75708,221184,0.06939999759197235
1715453051.5579221,229376,0.05875999853014946
1715453056.2578518,237568,0.04569000005722046
1715453060.947047,245760,0.05471000075340271
1715453065.9517188,253952,0.06977000087499619
1715453070.823414,262144,0.07625000178813934
1715453075.6145139,270336,0.06094000115990639
1715453080.286151,278528,0.02696000039577484
1715453085.028688,286720,0.08524999767541885
1715453089.888392,294912,0.07184000313282013
1715453094.7661598,303104,0.05372999981045723
1715453099.568575,311296,0.051739998161792755
1715453104.697547,319488,0.09741000086069107
1715453109.889344,327680,0.13753999769687653
1715453114.560941,335872,0.09059999883174896
1715453119.398298,344064,0.10454999655485153
1715453124.2870028,352256,0.0824899971485138
1715453129.1273541,360448,0.12354999780654907
1715453133.797914,368640,0.12202999740839005
1715453138.460924,376832,0.13041000068187714
1715453143.18507,385024,0.11077000200748444
1715453147.834549,393216,0.14428000152111053
1715453152.454902,401408,0.11219999939203262
1715453156.966141,409600,0.10851000249385834
1715453161.471564,417792,0.10544999688863754
1715453166.1111062,425984,0.07039999961853027
1715453170.702275,434176,0.1160999983549118
1715453175.409024,442368,0.09843000024557114
1715453179.963358,450560,0.1129399985074997
1715453184.6057951,458752,0.16493000090122223
1715453189.177588,466944,0.14527000486850739
1715453194.039962,475136,0.14232000708580017
1715453198.6151779,483328,0.1625799983739853
1715453203.223177,491520,0.14190000295639038
1715453207.8708029,499712,0.16078999638557434
1715453212.647202,507904,0.19878999888896942
1715453217.210651,516096,0.1277099996805191
1715453221.8609521,524288,0.2066500037908554
1715453226.702029,532480,0.19955000281333923
1715453231.331465,540672,0.2688100039958954
1715453235.934266,548864,0.16614000499248505
1715453240.57032,557056,0.22281000018119812
1715453245.4632242,565248,0.2105100005865097
1715453250.105698,573440,0.20547999441623688
1715453254.747913,581632,0.16764000058174133
1715453259.52544,589824,0.23917999863624573
1715453264.2159638,598016,0.1809699982404709
1715453268.854617,606208,0.20512999594211578
1715453273.451495,614400,0.1953900009393692
1715453278.101218,622592,0.20145000517368317
1715453282.706073,630784,0.20990000665187836
1715453287.302891,638976,0.20529000461101532
1715453292.242667,647168,0.24404999613761902
1715453297.014741,655360,0.2699199914932251
1715453301.977677,663552,0.22468000650405884
1715453306.696699,671744,0.24919000267982483
1715453311.5136042,679936,0.22639000415802002
1715453316.06074,688128,0.24532000720500946
1715453320.6846561,696320,0.226950004696846
1715453325.491934,704512,0.2962700128555298
1715453330.1707351,712704,0.21425999701023102
1715453334.844308,720896,0.2037999927997589
1715453339.520423,729088,0.2849000096321106
1715453344.1108532,737280,0.2720099985599518
1715453348.844727,745472,0.2837100028991699
1715453353.63376,753664,0.3599500060081482
1715453358.43151,761856,0.24740999937057495
1715453363.0888908,770048,0.3247300088405609
1715453367.7157261,778240,0.3626599907875061
1715453372.460736,786432,0.3246699869632721
1715453377.1709812,794624,0.29190999269485474
1715453381.8147159,802816,0.30195000767707825
1715453386.506044,811008,0.3185400068759918
1715453391.182285,819200,0.29162999987602234
1715453395.862669,827392,0.31709998846054077
1715453400.635247,835584,0.3149699866771698
1715453405.2385979,843776,0.3898099958896637
1715453409.917086,851968,0.2738400101661682
1715453414.568052,860160,0.33348000049591064
1715453419.156564,868352,0.2676199972629547
1715453423.785436,876544,0.327129989862442
1715453428.44032,884736,0.36305001378059387
1715453433.050115,892928,0.43261000514030457
1715453437.625922,901120,0.3711700141429901
1715453442.2695072,909312,0.3908799886703491
1715453446.915424,917504,0.30584999918937683
1715453451.559073,925696,0.3608100116252899
1715453456.1578398,933888,0.36134999990463257
1715453460.912571,942080,0.4091300070285797
1715453465.53393,950272,0.4425300061702728
1715453470.076376,958464,0.414249986410141
1715453474.608526,966656,0.3725399971008301
1715453479.2913332,974848,0.373989999294281
1715453483.930122,983040,0.435589998960495
1715453488.3539221,991232,0.40011000633239746
1715453492.956797,999424,0.3374600112438202
1715453497.721218,1007616,0.38760998845100403
