Wall time,Step,Value
1715459755.8159573,2000,-68.67235565185547
1715459759.7574358,4000,-65.61273956298828
1715459763.2707264,6000,-65.39462280273438
1715459766.6182349,8000,-69.76192474365234
1715459769.8520648,10000,-70.8965835571289
1715459773.0828032,12000,-66.8927230834961
1715459776.346853,14000,-68.86582946777344
1715459779.6259992,16000,-66.12034606933594
1715459782.9866126,18000,-65.83340454101562
1715459786.9962075,20000,-66.88612365722656
1715459790.2980149,22000,-71.38105773925781
1715459793.6288333,24000,-76.19277954101562
1715459797.2757201,26000,-74.23780059814453
1715459800.5987797,28000,-72.29460144042969
1715459804.003348,30000,-72.97295379638672
1715459807.4171999,32000,-64.16824340820312
1715459810.797693,34000,-61.512630462646484
1715459814.1616764,36000,-66.79248046875
1715459817.6754675,38000,-69.81800842285156
1715459821.6390734,40000,-68.41742706298828
1715459824.986121,42000,-79.39817810058594
1715459828.4000695,44000,-76.90747833251953
1715459831.7379317,46000,-74.72297668457031
1715459835.144377,48000,-72.14350128173828
1715459838.54165,50000,-73.82392120361328
1715459842.1142762,52000,-75.63297271728516
1715459845.5025747,54000,-71.71281433105469
1715459848.9663978,56000,-72.93608093261719
1715459852.421207,58000,-66.60623931884766
1715459856.443569,60000,-69.0727310180664
1715459859.9076922,62000,-67.85478210449219
1715459863.3878431,64000,-71.63833618164062
1715459866.7849827,66000,-74.00225830078125
1715459870.382232,68000,-76.55428314208984
1715459873.912621,70000,-70.99222564697266
1715459877.4431155,72000,-62.545082092285156
1715459880.9900923,74000,-62.110557556152344
1715459884.4546382,76000,-62.43892288208008
1715459887.8690462,78000,-64.26115417480469
1715459891.8644724,80000,-64.75872802734375
1715459895.2451067,82000,-69.91361236572266
1715459898.8254411,84000,-69.07037353515625
1715459902.3725202,86000,-62.463436126708984
1715459905.8196225,88000,-60.99708557128906
1715459909.2502046,90000,-56.9708251953125
1715459912.647402,92000,-54.771148681640625
1715459916.1155066,94000,-57.3836669921875
1715459919.510728,96000,-63.30141067504883
1715459923.0055604,98000,-59.93259048461914
1715459927.152346,100000,-64.02635955810547
1715459930.581914,102000,-68.37396240234375
1715459933.9797807,104000,-71.88362884521484
1715459937.410524,106000,-67.63391876220703
1715459941.198164,108000,-62.549049377441406
1715459944.7044003,110000,-62.91043472290039
1715459948.1681182,112000,-61.37487030029297
1715459951.6987212,114000,-61.22504806518555
1715459955.3791027,116000,-63.00572967529297
1715459958.842839,118000,-61.63019561767578
1715459962.963823,120000,-60.539039611816406
1715459966.420068,122000,-64.85602569580078
1715459969.9003475,124000,-64.1339111328125
1715459973.2831955,126000,-70.12370300292969
1715459976.6446998,128000,-70.7947998046875
1715459980.2084563,130000,-65.37226867675781
1715459983.6588964,132000,-63.126277923583984
1715459987.16879,134000,-56.28065490722656
1715459990.6664946,136000,-56.21634292602539
1715459994.4467602,138000,-60.09571075439453
1715459998.4269297,140000,-64.06245422363281
1715460001.8740032,142000,-59.490440368652344
1715460005.2683222,144000,-62.0461311340332
1715460008.8019998,146000,-62.11985778808594
1715460012.265549,148000,-56.96903610229492
1715460015.812618,150000,-52.386863708496094
1715460019.2993395,152000,-56.88633728027344
1715460022.890226,154000,-58.09242248535156
1715460026.337347,156000,-64.23696899414062
1715460029.8670256,158000,-72.18927764892578
1715460034.0048716,160000,-76.20453643798828
1715460037.478222,162000,-72.09736633300781
1715460040.9919097,164000,-70.81440734863281
1715460044.455466,166000,-63.078731536865234
1715460047.9604142,168000,-48.95186996459961
1715460051.6246645,170000,-45.39787292480469
1715460055.1273973,172000,-47.584075927734375
1715460058.62758,174000,-51.116947174072266
1715460062.1664133,176000,-61.55878448486328
1715460065.6676183,178000,-70.83885192871094
1715460069.7520401,180000,-69.66105651855469
1715460073.4985373,182000,-64.91075134277344
1715460076.9789371,184000,-59.616172790527344
1715460080.5261989,186000,-57.519012451171875
1715460084.0233715,188000,-60.57422637939453
1715460087.520316,190000,-66.64896392822266
1715460091.3412678,192000,-63.20143508911133
1715460095.6680522,194000,-66.6744613647461
