Wall time,Step,Value
1715446191.318037,8192,-451.7286376953125
1715446196.251641,16384,-408.3536071777344
1715446201.068021,24576,-330.85711669921875
1715446205.618022,32768,-220.38677978515625
1715446209.904416,40960,-124.84574890136719
1715446214.1977751,49152,-66.60762786865234
1715446218.488321,57344,-36.130889892578125
1715446222.791784,65536,-23.24518394470215
1715446227.0889359,73728,-15.997303009033203
1715446231.361235,81920,-7.413191318511963
1715446235.603071,90112,-2.1723475456237793
1715446239.89209,98304,-1.3253779411315918
1715446244.145804,106496,-0.2296493798494339
1715446248.37567,114688,0.32199421525001526
1715446252.6166148,122880,0.8595880270004272
1715446256.797038,131072,0.7612842917442322
1715446260.9878452,139264,0.866487443447113
1715446265.155725,147456,0.7706183195114136
1715446269.4073422,155648,0.4951690137386322
1715446273.6769762,163840,0.18335649371147156
1715446277.961955,172032,0.3328622877597809
1715446282.2462661,180224,0.7277734279632568
1715446286.50856,188416,0.3824228048324585
1715446290.767333,196608,0.31648144125938416
1715446295.014637,204800,0.9411680102348328
