Wall time,Step,Value
1715453657.0059679,8192,1023.125
1715453661.3776221,16384,710.8571166992188
1715453665.660537,24576,700.3030395507812
1715453669.909751,32768,692.18603515625
1715453674.0331452,40960,659.75
1715453678.218413,49152,487.38385009765625
1715453682.3949409,57344,146.35000610351562
1715453686.6392052,65536,75.58000183105469
1715453690.809099,73728,52.75
1715453694.92543,81920,45.16999816894531
1715453699.113785,90112,39.68000030517578
1715453703.255933,98304,36.349998474121094
1715453707.44051,106496,33.970001220703125
1715453711.460169,114688,32.279998779296875
1715453715.5492349,122880,32.2599983215332
1715453719.530693,131072,30.889999389648438
1715453723.6736488,139264,30.040000915527344
1715453727.838102,147456,29.520000457763672
1715453732.0622458,155648,29.170000076293945
1715453735.930399,163840,28.84000015258789
1715453739.893325,172032,29.270000457763672
1715453744.037567,180224,29.229999542236328
1715453748.029618,188416,28.34000015258789
1715453751.9493399,196608,28.3700008392334
1715453755.855629,204800,28.100000381469727
